# Chunk-averaged data for fix massdensity and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
0 100 186
  77 0.765 0 0
  78 0.775 2 1.03469
  79 0.785 2 0.160213
  80 0.795 1 0.954579
  81 0.805 2 0.160213
  82 0.815 3 1.11479
  83 0.825 4 2.94384
  84 0.835 3 1.11479
  85 0.845 2 0.160213
  86 0.855 1 0.0801065
  87 0.865 1 0.0801065
  88 0.875 1 0.954579
  89 0.885 2 0.160213
  90 0.895 0 0
  91 0.905 2 1.90916
  92 0.915 4 1.1949
  93 0.925 1 0.0801065
  94 0.935 2 1.03469
  95 0.945 2 1.03469
  96 0.955 2 0.160213
  97 0.965 1 0.0801065
  98 0.975 1 0.0801065
  99 0.985 2 0.160213
  100 0.995 2 0.160213
8000 100 186
  1 0.005 1 0.0815731
  2 0.015 4 1.21678
  3 0.025 1 0.0815731
  4 0.035 4 2.10726
  5 0.045 2 1.05363
  6 0.055 0 0
  7 0.065 1 0.0815731
  8 0.075 0 0
  9 0.085 1 0.0815731
  10 0.095 1 0.0815731
  11 0.105 3 0.244719
  12 0.115 4 2.10726
  13 0.125 4 1.21678
  14 0.135 1 0.0815731
  15 0.145 2 1.05363
  16 0.155 1 0.972056
  17 0.165 3 1.1352
  18 0.175 3 0.244719
  19 0.185 1 0.0815731
  20 0.195 5 3.9698
  21 0.205 1 0.0815731
  22 0.215 4 1.21678
  23 0.225 2 1.05363
  24 0.235 2 0.163146
  25 0.245 1 0.0815731
  26 0.255 3 1.1352
  27 0.265 3 2.02569
  28 0.275 3 2.02569
  29 0.285 3 2.02569
  30 0.295 1 0.0815731
  31 0.305 0 0
  32 0.315 1 0.0815731
  33 0.325 2 0.163146
  34 0.335 1 0.972056
  35 0.345 4 0.326292
  36 0.355 3 0.244719
  37 0.365 4 2.10726
  38 0.375 2 0.163146
  39 0.385 0 0
  40 0.395 1 0.972056
  41 0.405 2 1.05363
  42 0.415 0 0
  43 0.425 1 0.0815731
  44 0.435 1 0.972056
  45 0.445 2 0.163146
  46 0.455 2 1.05363
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 1 0.0815731
  52 0.515 3 0.244719
  53 0.525 1 0.972056
  54 0.535 2 0.163146
  55 0.545 1 0.0815731
  56 0.555 4 1.21678
  57 0.565 3 1.1352
  58 0.575 1 0.0815731
  59 0.585 3 1.1352
  60 0.595 0 0
  61 0.605 0 0
  62 0.615 1 0.0815731
  63 0.625 3 2.02569
  64 0.635 2 1.05363
  65 0.645 0 0
  66 0.655 1 0.972056
  67 0.665 3 0.244719
  68 0.675 1 0.0815731
  69 0.685 5 2.18883
  70 0.695 4 2.10726
  71 0.705 1 0.0815731
  72 0.715 7 3.24246
  73 0.725 3 0.244719
  74 0.735 2 1.94411
  75 0.745 2 0.163146
  76 0.755 3 2.02569
  77 0.765 3 0.244719
  78 0.775 0 0
  79 0.785 2 1.05363
  80 0.795 1 0.972056
  81 0.805 2 0.163146
  82 0.815 2 1.05363
  83 0.825 3 0.244719
  84 0.835 2 0.163146
  85 0.845 2 1.94411
  86 0.855 3 1.1352
  87 0.865 1 0.972056
  88 0.875 1 0.0815731
  89 0.885 1 0.0815731
  90 0.895 2 0.163146
  91 0.905 3 1.1352
  92 0.915 0 0
  93 0.925 1 0.972056
  94 0.935 0 0
  95 0.945 2 0.163146
  96 0.955 2 0.163146
  97 0.965 1 0.0815731
  98 0.975 1 0.972056
  99 0.985 1 0.0815731
  100 0.995 2 1.05363
9000 100 186
  1 0.005 0 0
  2 0.015 1 0.0853705
  3 0.025 0 0
  4 0.035 1 0.0853705
  5 0.045 3 1.18805
  6 0.055 2 0.170741
  7 0.065 0 0
  8 0.075 0 0
  9 0.085 0 0
  10 0.095 1 0.0853705
  11 0.105 2 1.10268
  12 0.115 2 0.170741
  13 0.125 3 1.18805
  14 0.135 0 0
  15 0.145 4 0.341482
  16 0.155 2 1.10268
  17 0.165 1 0.0853705
  18 0.175 1 0.0853705
  19 0.185 1 0.0853705
  20 0.195 4 2.20536
  21 0.205 2 1.10268
  22 0.215 0 0
  23 0.225 6 5.17191
  24 0.235 1 1.01731
  25 0.245 3 2.11999
  26 0.255 4 1.27342
  27 0.265 6 2.3761
  28 0.275 3 0.256111
  29 0.285 4 1.27342
  30 0.295 1 1.01731
  31 0.305 1 0.0853705
  32 0.315 2 1.10268
  33 0.325 1 0.0853705
  34 0.335 1 0.0853705
  35 0.345 3 1.18805
  36 0.355 1 0.0853705
  37 0.365 3 2.11999
  38 0.375 1 0.0853705
  39 0.385 1 0.0853705
  40 0.395 2 0.170741
  41 0.405 2 0.170741
  42 0.415 0 0
  43 0.425 1 0.0853705
  44 0.435 3 2.11999
  45 0.445 0 0
  46 0.455 3 0.256111
  47 0.465 1 0.0853705
  48 0.475 1 0.0853705
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 2 0.170741
  53 0.525 0 0
  54 0.535 3 1.18805
  55 0.545 4 2.20536
  56 0.555 3 2.11999
  57 0.565 0 0
  58 0.575 4 1.27342
  59 0.585 2 0.170741
  60 0.595 3 1.18805
  61 0.605 2 1.10268
  62 0.615 2 1.10268
  63 0.625 0 0
  64 0.635 0 0
  65 0.645 4 1.27342
  66 0.655 1 0.0853705
  67 0.665 2 0.170741
