# Chunk-averaged data for fix ave_vx and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
1000 20 4000
  14 0.675 200.36 0.0956035
  15 0.725 200.72 0.0447589
  16 0.775 198.02 -0.0191284
  17 0.825 196.88 -0.0575632
  18 0.875 196.68 -0.15986
  19 0.925 200.64 -0.209505
  20 0.975 199.66 -0.201012
34000 20 4000
  1 0.025 196.76 -0.34499
  2 0.075 199.32 -0.250284
  3 0.125 199 -0.160437
  4 0.175 202.14 -0.0684756
  5 0.225 200.04 -0.0196166
  6 0.275 200.08 -0.0202084
  7 0.325 202.14 -0.00502796
  8 0.375 195.7 0.117216
  9 0.425 195.96 0.152969
  10 0.475 198.72 0.275868
  11 0.525 205.22 0.355522
  12 0.575 201.26 0.263688
  13 0.625 203.86 0.187714
  14 0.675 204.02 0.0909831
  15 0.725 202.94 0.0255674
  16 0.775 201.12 -0.0016093
  17 0.825 198.96 -0.0557877
  18 0.875 197.18 -0.143882
  19 0.925 199.7 -0.177404
  20 0.975 195.88 -0.245268
35000 20 4000
  1 0.025 197.8 -0.323365
  2 0.075 201 -0.239349
  3 0.125 202.64 -0.126177
  4 0.175 198.2 -0.0509747
  5 0.225 201.98 -0.0667502
  6 0.275 200.82 0.0315353
  7 0.325 200.9 0.0685345
  8 0.375 198.16 0.143371
  9 0.425 200.38 0.219959
  10 0.475 200.8 0.26371
  11 0.525 198.22 0.352901
  12 0.575 201.76 0.256337
  13 0.625 200.48 0.114866
  14 0.675 201.68 0.11121
  15 0.725 198.08 0.02209
  16 0.775 199.86 0.00428686
  17 0.825 199.58 -0.0831648
  18 0.875 196.5 -0.187347
  19 0.925 201.08 -0.232865
  20 0.975 200.08 -0.282085
36000 20 4000
  1 0.025 198.64 -0.342254
  2 0.075 201.66 -0.235756
  3 0.125 200.36 -0.180236
  4 0.175 202.34 -0.124425
  5 0.225 201.72 -0.029072
  6 0.275 203.54 0.000599135
  7 0.325 199.34 0.0595202
  8 0.375 197.62 0.101769
  9 0.425 201 0.142672
  10 0.475 201.52 0.24743
  11 0.525 202.2 0.368848
  12 0.575 204.06 0.25587
  13 0.625 200.04 0.201868
  14 0.675 195.88 0.126857
  15 0.725 196.54 0.0681546
  16 0.775 197.8 0.0120083
  17 0.825 202.02 -0.0803816
  18 0.875 197.54 -0.151373
  19 0.925 197.5 -0.186355
  20 0.975 198.68 -0.265782
37000 20 4000
  1 0.025 196.3 -0.317721
  2 0.075 195.38 -0.253094
  3 0.125 197.48 -0.160902
  4 0.175 200.86 -0.115453
  5 0.225 201.96 -0.0801411
  6 0.275 202.98 -0.0171491
  7 0.325 201.86 0.00722897
  8 0.375 198.6 0.094098
  9 0.425 202.04 0.176842
  10 0.475 203.26 0.22569
  11 0.525 199 0.337638
  12 0.575 203.6 0.256245
  13 0.625 202.42 0.167104
  14 0.675 198.8 0.121853
  15 0.725 198.36 0.023771
  16 0.775 203.48 -0.00478651
  17 0.825 202.52 -0.0607612
  18 0.875 200.26 -0.0822389
  19 0.925 196.66 -0.12287
  20 0.975 194.18 -0.224095
38000 20 4000
  1 0.025 198.44 -0.303755
  2 0.075 199.7 -0.234285
  3 0.125 199.56 -0.198281
  4 0.175 200.82 -0.146041
  5 0.225 201.84 -0.116071
  6 0.275 204.58 0.00469485
  7 0.325 200.7 0.0533727
  8 0.375 202.54 0.0933678
  9 0.425 200.82 0.156775
  10 0.475 200.54 0.242234
  11 0.525 200.38 0.357241
  12 0.575 200.14 0.242018
  13 0.625 199.48 0.103576
  14 0.675 201.14 0.0992841
  15 0.725 201.04 0.0800171
  16 0.775 197.64 0.0482685
  17 0.825 200.5 -0.0459524
  18 0.875 196.1 -0.118072
  19 0.925 196.56 -0.12447
  20 0.975 197.48 -0.206106
39000 20 4000
  1 0.025 200.84 -0.360589
  2 0.075 200.64 -0.269542
  3 0.125 199.06 -0.142149
  4 0.175 200.98 -0.0819697
  5 0.225 203.8 -0.0883426
  6 0.275 199.98 0.0036544
  7 0.325 199.88 0.050831
  8 0.375 201.74 0.131673
  9 0.425 199.28 0.15934
  10 0.475 196.78 0.280592
  11 0.525 196.54 0.382871
  12 0.575 200.84 0.258765
  13 0.625 203.56 0.190619
  14 0.675 196.44 0.132188
  15 0.725 199.16 0.0199073
  16 0.775 201.1 -0.0193638
  17 0.825 196.96 -0.116008
  18 0.875 197.64 -0.111037
  19 0.925 201.8 -0.168702
  20 0.975 202.98 -0.238286
40000 20 4000
  1 0.025 200.36 -0.291407
  2 0.075 201.92 -0.222484
  3 0.125 203.4 -0.191185
  4 0.175 203.36 -0.148531
  5 0.225 200.1 -0.0807198
  6 0.275 192.5 -0.0151036
  7 0.325 198.02 0.0231806
  8 0.375 202.84 0.108252
  9 0.425 197.62 0.171255
  10 0.475 198 0.271336
  11 0.525 200.06 0.378801
  12 0.575 201.48 0.278034
  13 0.625 199.58 0.210518
  14 0.675 200.84 0.150528
  15 0.725 200.38 0.0409269
  16 0.775 199.78 -0.000908519
